geoid,space_id,type,min_walk
36005000200,park-woodrow-wilson-triangle,park,6.00
36005000200,park-harding-park,park,7.00
36005000200,park-harding-park-beautification-project,park,7.00
36005000200,park-soundview-park,park,11.00
36005000200,park-pugsley-creek-park,park,12.00
36005000200,park-taylor-soundview-block-assoc-garden,park,13.00
36005000200,park-waterfront-garden,park,16.00
36005000200,wpaa-shorehaven,wpaa,18.00
36005000200,park-clason-point-park,park,20.00
36005000200,park-space-time-playground,park,24.00
36005000200,park-story-playground,park,25.00
36005000200,stp-1351-seward-avenue,stp,27.00
36005000200,park-randall-playground,park,28.00
36005000200,stp-2060-lafayette-ave,stp,30.00
36005000400,park-waterfront-garden,park,5.00
36005000400,park-harding-park,park,7.00
36005000400,park-pugsley-creek-park,park,10.00
36005000400,wpaa-shorehaven,wpaa,10.00
36005000400,park-clason-point-park,park,11.00
36005000400,park-harding-park-beautification-project,park,12.00
36005000400,park-woodrow-wilson-triangle,park,15.00
36005000400,park-taylor-soundview-block-assoc-garden,park,23.00
36005000400,park-soundview-park,park,26.00
36005001600,park-taylor-soundview-block-assoc-garden,park,8.00
36005001600,park-space-time-playground,park,9.00
36005001600,stp-2060-lafayette-ave,stp,12.00
36005001600,park-woodrow-wilson-triangle,park,13.00
36005001600,park-randall-playground,park,14.00
36005001600,park-story-playground,park,15.00
36005001600,park-pugsley-creek-park,park,16.00
36005001600,park-po-serrano-playground,park,17.00
36005001600,stp-1351-seward-avenue,stp,20.00
36005001600,park-harding-park,park,20.00
36005001600,park-fdny-emt-yadira-arroyo-playground,park,21.00
36005001600,park-haviland-playground,park,22.00
36005001600,park-justice-sotomayor-houses-playground,park,23.00
36005001600,park-havemeyer-garden-association,park,24.00
36005001600,park-harding-park-beautification-project,park,25.00
36005001600,park-waterfront-garden,park,25.00
36005001600,park-castle-hill-park,park,25.00
36005001600,park-soundview-park,park,25.00
36005001600,wpaa-shorehaven,wpaa,29.00
36005001600,park-virginia-park,park,29.00
36005001600,park-hugh-j-grant-circle,park,30.00
36005001900,park-gouverneur-morris-triangle,park,6.00
36005001900,park-playground-one-thirty-four-cxxxiv,park,9.00
36005001900,park-5-borough-shops,park,9.00
36005001900,park-citywide-services-shops-and-storehouse,park,9.00
36005001900,park-st-lukes-park,park,10.00
36005001900,park-united-we-stand-garden,park,11.00
36005001900,park-millbrook-playground,park,13.00
36005001900,park-pulaski-park,park,16.00
36005001900,park-padre-plaza,park,16.00
36005001900,park-ranaqua-playground,park,18.00
36005001900,park-peoples-park,park,19.00
36005001900,park-i-am-park,park,19.00
36005001900,park-saw-mill-playground,park,20.00
36005001900,park-st-marys-park,park,21.00
36005001900,park-brook-park,park,22.00
36005001900,park-lozada-playground,park,23.00
36005001900,park-martin-luther-king-triangle,park,24.00
36005001900,park-randalls-island-park,park,24.00
36005001900,park-pontiac-playground,park,26.00
36005001900,park-el-flamboyan-garden,park,26.00
36005001900,park-fountain-of-youth-playground,park,26.00
36005001900,park-willis-playground,park,27.00
36005001900,park-isla-verde-garden,park,29.00
36005001900,park-alexanders-alley,park,29.00
36005001900,park-granja-farm-otf,park,29.00
36005001900,park-graham-triangle,park,30.00
36005002000,stp-1351-seward-avenue,stp,7.00
36005002000,park-taylor-soundview-block-assoc-garden,park,9.00
36005002000,park-soundview-park,park,12.00
36005002000,park-story-playground,park,15.00
36005002000,park-woodrow-wilson-triangle,park,16.00
36005002000,park-space-time-playground,park,16.00
36005002000,park-watson-gleason-playground,park,22.00
36005002000,stp-2060-lafayette-ave,stp,24.00
36005002000,park-justice-sotomayor-houses-playground,park,24.00
36005002000,park-pugsley-creek-park,park,25.00
36005002000,park-harding-park,park,25.00
36005002000,stp-1535-story-av,stp,25.00
36005002000,stp-1025-morrison-ave,stp,26.00
36005002000,park-randall-playground,park,26.00
36005002000,park-harding-park-beautification-project,park,27.00
36005002000,park-po-serrano-playground,park,29.00
36005002000,plaza-morrison-avenue-plaza,plaza,30.00
36005002000,stp-1794-e-172-st,stp,30.00
36005002300,park-lozada-playground,park,3.00
36005002300,park-graham-triangle,park,5.00
36005002300,park-willis-playground,park,6.00
36005002300,park-alexanders-alley,park,7.00
36005002300,park-ranaqua-playground,park,8.00
36005002300,park-clark-playground,park,11.00
36005002300,park-pulaski-park,park,11.00
36005002300,park-la-finca-del-sur-community-garden,park,11.00
36005002300,park-saw-mill-playground,park,12.00
36005002300,park-ryan-triangle,park,13.00
36005002300,park-brook-park,park,14.00
36005002300,park-patterson-playground,park,15.00
36005002300,park-padre-plaza,park,15.00
36005002300,plaza-roberto-clemente-plaza,plaza,17.00
36005002300,park-peoples-park,park,17.00
36005002300,park-millbrook-playground,park,18.00
36005002300,park-united-we-stand-garden,park,18.00
36005002300,park-harlem-river-park,park,19.00
36005002300,park-st-lukes-park,park,20.00
36005002300,park-evelina-antonetty-playground,park,20.00
36005002300,park-playground-one-thirty-four-cxxxiv,park,20.00
36005002300,park-alice-kornegay-triangle,park,20.00
36005002300,park-triboro-plaza,park,21.00
36005002300,park-gouverneur-morris-triangle,park,22.00
36005002300,park-william-mccray-playground,park,23.00
36005002300,park-wagner-houses-pool,park,23.00
36005002300,park-crack-is-wack-playground,park,23.00
36005002300,pops-east-harlem-mecc,pops,23.00
36005002300,park-abraham-lincoln-playground,park,24.00
36005002300,park-melrose-playground,park,25.00
36005002300,park-moore-playground,park,25.00
36005002300,pops-la-central,pops,25.00
36005002300,park-harlem-rose-garden,park,25.00
36005002300,park-detective-omar-edwards-park,park,26.00
36005002300,plaza-125th-street-plaza,plaza,26.00
36005002300,park-howard-bennett-playground,park,26.00
36005002300,park-courtney-callender-playground,park,27.00
36005002300,park-collyer-brothers-park,park,27.00
36005002300,park-st-marys-park,park,27.00
36005002300,park-life-spire-garden,park,27.00
36005002300,park-dr-ronald-e-mcnair-playground,park,27.00
36005002300,park-wagner-playground,park,28.00
36005002300,park-vogue-garden,park,28.00
36005002300,park-5-borough-shops,park,28.00
36005002300,park-fred-samuel-playground,park,28.00
36005002300,park-citywide-services-shops-and-storehouse,park,28.00
36005002300,park-elizabeth-langley-memorial-garden,park,29.00
36005002300,park-carolina-garden,park,29.00
36005002300,park-hansborough-recreation-center,park,29.00
36005002300,park-rainbow-garden-of-life-and-health,park,29.00
36005002300,park-granja-farm-otf,park,29.00
36005002300,park-jackie-robinson-community-garden,park,29.00
36005002300,park-abyssinian-tot-lot,park,29.00
36005002300,park-st-anns-block-association-garden,park,29.00
36005002300,park-louis-cuvillier-park,park,30.00
36005002300,park-rev-linette-c-williamson-memorial-park,park,30.00
36005002300,park-ps-29-ballfield,park,30.00
36005002300,park-centro-cultural-rincon-criollo,park,30.00
36005002300,park-unity-gardens,park,30.00
36005002400,stp-1351-seward-avenue,stp,9.00
36005002400,park-soundview-park,park,13.00
36005002400,park-taylor-soundview-block-assoc-garden,park,16.00
36005002400,stp-1535-story-av,stp,19.00
36005002400,stp-1025-morrison-ave,stp,23.00
36005002400,park-story-playground,park,23.00
36005002400,park-woodrow-wilson-triangle,park,23.00
36005002400,park-space-time-playground,park,25.00
36005002400,plaza-morrison-avenue-plaza,plaza,29.00
36005002400,park-watson-gleason-playground,park,30.00
36005002400,park-colgate-close,park,30.00
36005002500,park-ranaqua-playground,park,3.00
36005002500,park-saw-mill-playground,park,5.00
36005002500,park-lozada-playground,park,7.00
36005002500,park-padre-plaza,park,7.00
36005002500,park-millbrook-playground,park,9.00
36005002500,park-united-we-stand-garden,park,9.00
36005002500,park-brook-park,park,9.00
36005002500,park-peoples-park,park,9.00
36005002500,park-willis-playground,park,11.00
36005002500,park-pulaski-park,park,11.00
36005002500,park-st-lukes-park,park,12.00
36005002500,park-playground-one-thirty-four-cxxxiv,park,12.00
36005002500,park-gouverneur-morris-triangle,park,13.00
36005002500,park-alexanders-alley,park,13.00
36005002500,park-graham-triangle,park,14.00
36005002500,park-clark-playground,park,17.00
36005002500,park-la-finca-del-sur-community-garden,park,19.00
36005002500,plaza-roberto-clemente-plaza,plaza,20.00
36005002500,park-5-borough-shops,park,20.00
36005002500,park-st-marys-park,park,20.00
36005002500,park-citywide-services-shops-and-storehouse,park,20.00
36005002500,park-ryan-triangle,park,21.00
36005002500,park-patterson-playground,park,22.00
36005002500,park-triboro-plaza,park,23.00
36005002500,park-wagner-houses-pool,park,24.00
36005002500,park-i-am-park,park,24.00
36005002500,pops-la-central,pops,26.00
36005002500,park-granja-farm-otf,park,27.00
36005002500,park-st-anns-block-association-garden,park,27.00
36005002500,park-detective-omar-edwards-park,park,28.00
36005002500,park-harlem-river-park,park,28.00
36005002500,park-alice-kornegay-triangle,park,28.00
36005002500,park-crack-is-wack-playground,park,28.00
36005002500,park-evelina-antonetty-playground,park,29.00
36005002500,pops-east-harlem-mecc,pops,29.00
36005002500,park-wagner-playground,park,30.00
36005002500,park-pontiac-playground,park,30.00
36005002701,park-millbrook-playground,park,1.00
36005002701,park-united-we-stand-garden,park,3.00
36005002701,park-st-lukes-park,park,5.00
36005002701,park-gouverneur-morris-triangle,park,6.00
36005002701,park-padre-plaza,park,7.00
36005002701,park-playground-one-thirty-four-cxxxiv,park,10.00
36005002701,park-peoples-park,park,10.00
36005002701,park-saw-mill-playground,park,10.00
36005002701,park-ranaqua-playground,park,11.00
36005002701,park-5-borough-shops,park,12.00
36005002701,park-citywide-services-shops-and-storehouse,park,12.00
36005002701,park-brook-park,park,13.00
36005002701,park-pulaski-park,park,15.00
36005002701,park-lozada-playground,park,15.00
36005002701,park-st-marys-park,park,16.00
36005002701,park-willis-playground,park,18.00
36005002701,park-i-am-park,park,18.00
36005002701,park-alexanders-alley,park,20.00
36005002701,park-graham-triangle,park,21.00
36005002701,park-clark-playground,park,23.00
36005002701,park-granja-farm-otf,park,25.00
36005002701,plaza-roberto-clemente-plaza,plaza,26.00
36005002701,park-pontiac-playground,park,26.00
36005002701,park-martin-luther-king-triangle,park,26.00
36005002701,park-la-finca-del-sur-community-garden,park,26.00
36005002701,park-st-anns-block-association-garden,park,26.00
36005002701,park-el-flamboyan-garden,park,27.00
